bho,Indo-European
bhu,Austro-Asiatic
bia,Niger-Congo
bid,Afro-Asiatic
big,Central Sudanic
bii,Pama-Nyungan
bik,Austronesian
bil,Solomons East Papuan
bim,Austronesian
bin,Trans-New Guinea
bio,Kwomtari
biq,Austronesian
bir,Niger-Congo
bis,Mande
bit,Austronesian
biu,Sino-Tibetan
bjs,Austronesian
bka,Central Sudanic
bkb,Dravidian
bkd,Austronesian
bki,Cariban
bkl,Austronesian
bkn,Niger-Congo
bkr,Austronesian
bkt,Indo-European
bku,Niger-Congo
bla,Algic
blc,Indo-European
ble,Niger-Congo
blg,Austronesian
blj,Eastern Sudanic
blk,Austronesian
bln,Afro-Asiatic
blq,Afro-Asiatic
blr,Indo-European
blt,Sino-Tibetan
blu,Niger-Congo
blx,Siouan
bly,Pama-Nyungan
blz,Niger-Congo
bma,Afro-Asiatic
bmb,Niger-Congo
bmn,Niger-Congo
bmr,Trans-New Guinea
bmz,Afro-Asiatic
bna,Arauan
bnb,Bunuban
bnd,Mande
bng,Baining
bni,Niger-Congo
bnj,Pama-Nyungan
bnk,Niger-Congo
bnl,Pama-Nyungan
bnm,Trans-New Guinea
bnn,Austronesian
bno,Tucanoan
bnq,Mande
bnr,Pama-Nyungan
bnt,Austronesian
bnu,Pama-Nyungan
bnv,Arawakan
bnw,Arawakan
boa,Trans-New Guinea
bob,Niger-Congo
bod,Sino-Tibetan
boi,Sepik
boj,Sino-Tibetan
bok,Mande
bol,Niger-Congo
bon,Trans-New Guinea
boq,Sino-Tibetan
bor,Boran
bos,Indo-European
bou,Afro-Asiatic
boz,Mande
bpa,Afro-Asiatic
bpb,Austro-Asiatic
bqb,Basque
bqg,Basque
bqh,Basque
bqi,Basque
bql,Basque
bqn,Basque
bqo,Basque
bqr,Basque
bqs,Basque
bqz,Basque
bra,Austro-Asiatic
brb,Niger-Congo
brc,Chibchan
brd,Nyulnyulan
bre,Indo-European
brf,Afro-Asiatic
brh,Dravidian
bri,Chibchan
brj,Afro-Asiatic
brk,Tor-Kwerba
brl,Sino-Tibetan
brm,Sino-Tibetan
brn,Afro-Asiatic
bro,other
brp,Skou
brq,Niger-Congo
brr,Bororoan
brs,Tucanoan
bru,Austro-Asiatic
brw,Austro-Asiatic
bry,Trans-New Guinea
brz,Central Sudanic
bse,Afro-Asiatic
bsh,Niger-Congo
bsi,Afro-Asiatic
bsk,Altaic
bsl,other
bsm,other
bso,Basque
bsq,Basque
bsr,Niger-Congo
bth,Afro-Asiatic
bti,Betoi
btk,Austronesian
bto,Austronesian
bua,Mangrida
bub,Niger-Congo
bud,Afro-Asiatic
bug,Austronesian
bui,Austronesian
buj,Niger-Congo
buk,Niger-Congo
bul,Indo-European
bum,Austronesian
bun,South Bougainville
bur,Burushaski
bus,Mande
but,Altaic
buu,Austronesian
buw,Niger-Congo
buy,Niger-Congo
bvi,Austronesian
bwa,Pama-Nyungan
bwc,Austronesian
bxj,Pama-Nyungan
bya,Sino-Tibetan
bys,Afro-Asiatic
byu,Pama-Nyungan
